length	count
243	54
244	52
245	38
246	56
247	28
248	60
249	56
250	20
251	59
252	29
253	47
254	51
255	46
256	45
257	23
258	68
259	35
260	64
261	40
262	32
263	31
264	34
265	33
266	35
267	28
268	40
269	51
270	35
271	29
272	42
273	24
274	19
275	39
276	31
277	20
278	29
279	45
280	42
281	32
282	19
283	38
284	27
285	20
286	31
287	11
288	21
289	18
290	28
291	22
292	23
293	37
294	21
295	27
296	24
297	29
298	27
299	20
300	24
301	35
302	13
303	37
304	23
305	14
306	31
307	17
308	13
309	18
310	19
311	38
312	23
313	18
314	27
315	15
316	18
317	31
318	23
319	34
320	11
321	12
322	102
323	16
324	13
325	15
326	6
327	12
328	7
329	25
330	15
331	10
332	22
333	14
334	16
335	8
336	28
337	14
338	22
339	16
340	14
341	14
342	14
343	27
344	6
345	19
346	42
347	6
348	57
349	11
350	6
351	11
352	32
353	18
354	7
355	20
356	4
357	10
358	6
359	5
360	19
361	8
362	16
363	21
364	16
365	3
366	13
367	20
368	9
369	10
370	12
371	13
372	9
373	20
374	9
375	39
376	6
377	13
378	10
379	4
380	14
381	17
382	16
383	4
384	2
385	23
386	14
387	15
388	5
389	9
390	8
391	12
392	25
393	18
394	2
395	5
396	10
397	4
398	8
399	4
400	4
401	4
403	10
404	33
405	10
406	2
407	7
408	5
409	6
410	7
411	5
412	14
413	3
414	8
415	4
416	13
417	8
418	17
419	2
420	3
421	2
422	8
423	4
424	18
425	9
426	2
427	9
428	15
429	6
430	9
431	18
432	8
433	12
434	3
435	36
436	2
437	5
438	3
440	7
441	17
442	10
443	5
444	2
445	6
446	9
447	2
448	9
449	5
450	1
451	4
452	5
453	2
454	3
455	41
456	34
457	2
458	2
459	6
460	3
461	15
462	4
463	4
464	15
465	4
466	7
467	1
469	4
471	1
472	6
473	1
474	1
475	11
476	6
477	4
478	2
479	2
480	4
481	72
482	6
483	2
484	41
485	15
486	2
487	1
488	2
489	1
490	1
491	4
492	3
493	7
494	3
495	20
496	6
497	6
498	2
499	3
500	1
501	5
502	5
503	12
504	7
505	1
506	5
507	1
508	3
509	8
510	3
511	2
512	11
513	5
514	9
515	7
516	6
517	5
518	1
519	5
520	1
521	4
522	10
524	2
526	16
527	1
528	1
529	1
530	5
532	3
533	7
534	2
535	10
536	31
537	4
538	2
539	14
541	1
543	6
544	1
545	3
547	1
548	6
549	5
550	1
551	3
552	4
554	1
555	4
556	1
557	4
558	2
559	2
560	2
561	2
562	3
563	1
564	1
565	2
567	37
568	2
569	1
570	5
571	6
572	5
573	1
574	8
576	8
577	38
579	4
580	1
581	5
584	1
585	4
586	1
587	6
588	9
589	1
592	1
593	3
594	1
596	2
597	2
598	2
599	1
600	3
601	5
602	2
603	3
604	1
606	1
607	1
609	8
611	2
612	4
613	10
614	2
617	2
618	6
619	3
623	8
624	1
625	3
626	1
627	1
629	1
631	6
632	3
635	5
636	9
637	1
638	4
639	4
642	2
643	2
645	1
647	3
649	2
650	1
651	2
654	1
655	2
656	1
657	6
658	2
660	1
663	3
665	2
666	2
667	5
668	1
669	3
670	3
671	6
672	1
674	2
675	2
676	1
677	2
679	11
683	4
684	2
685	1
687	2
688	1
689	2
691	1
693	3
694	1
695	1
697	4
698	2
700	2
702	1
703	8
704	2
706	2
710	12
712	1
713	4
714	2
715	1
724	7
726	1
727	2
729	1
731	2
733	1
734	2
735	8
737	4
739	1
741	1
746	5
747	4
750	4
753	1
757	2
758	2
762	5
764	1
765	1
766	2
767	1
768	2
769	2
770	2
773	1
774	10
780	2
783	2
785	3
787	1
789	2
796	2
797	1
799	6
801	2
803	2
808	1
811	2
813	2
814	1
815	1
817	1
819	1
822	1
823	2
826	1
834	4
836	1
837	12
839	5
842	2
844	1
846	3
849	1
853	10
870	4
877	4
880	1
882	2
887	5
888	17
889	2
891	1
901	1
902	1
903	5
907	1
919	1
920	1
921	2
934	2
946	4
949	1
950	1
958	2
965	3
968	1
971	1
975	3
980	1
983	6
993	2
995	8
996	1
998	1
1001	41
1003	1
1013	1
1015	8
1023	1
1026	3
1029	1
1038	2
1043	1
1053	1
1059	1
1064	4
1075	1
1078	3
1081	1
1085	2
1111	4
1114	1
1123	1
1124	1
1129	14
1138	1
1148	1
1194	12
1205	1
1211	1
1220	1
1221	5
1224	1
1225	8
1246	1
1251	4
1256	1
1267	5
1270	4
1287	1
1292	1
1296	1
1300	1
1305	1
1323	1
1341	1
1352	1
1382	7
1396	2
1422	7
1435	2
1472	11
1493	12
1504	2
1560	1
1564	1
1578	2
1583	2
1586	1
1600	1
1693	31
1701	1
1751	2
1808	1
1835	1
2245	3
2429	1
